2023-52-18		09:52:21	 3d50f760-b72e-4e69-baea-6b8e90e7d49c	GET	/new-pag	undefined2023-52-18		09:52:21	 1fd5be96-997c-4e81-b309-90a1f9af624c	GET	/favicon.ico	undefined2023-53-18		09:53:16	 30de4c7b-7d08-40ce-a958-db51fbc919f2	OPTIONS	/	https://www.google.com2023-53-18		09:53:16	 10cbc84f-c184-40ac-ad33-7a47a65d5f57	GET	/	https://www.google.com2023-57-18		09:57:52	 c75b3973-c681-4cb3-8c32-77108a11af30	OPTIONS	/	https://www.google.com2023-57-18		09:57:52	 f44b5584-1d62-4adc-8a14-407107dfb02b	GET	/	https://www.google.com2023-27-18		10:27:52	 6e79af79-11a4-4660-b258-acb56043fda5	OPTIONS	/	https://www.google.com2023-27-18		10:27:52	 5433a15d-7d5e-49e8-8859-043d91f275ec	GET	/	https://www.google.com2023-29-18		10:29:20	 2596f785-8b62-466f-9205-1e7d0d3df21c	OPTIONS	/	https://www.google.com2023-29-18		10:29:20	 48188690-bbf3-488f-aa5f-debfaeab5c73	GET	/	https://www.google.com2023-39-18		10:39:24	 3dc19a07-8c12-4352-90ce-6973b4f972a6	GET	/	undefined2023-39-18		10:39:24	 291db06c-e011-44b7-9c09-c903d46ff319	GET	/css/style.css	undefined2023-39-18		10:39:25	 85383ebd-92db-4af9-a284-0c43782e634c	GET	/favicon.ico	undefined2023-55-18		10:55:07	 b2f68692-ac68-4a25-956a-e8cf44c15c06	GET	/new-page	undefined2023-55-18		10:55:07	 3e18cdbf-69ac-472d-8473-b2bb82360224	GET	/img/pexels-photo-10112958.jpeg	undefined2023-55-18		10:55:07	 304c9104-8267-4e77-a31d-0a90e9dca156	GET	/css/style.css	undefined2023-55-18		10:55:07	 15570725-5a9b-4d17-96d2-3bba481cab4f	GET	/img/pexels-photo-1915715.jpeg	undefined2023-55-18		10:55:07	 cc612016-ed47-40c7-8fdd-e7f317ee3e20	GET	/favicon.ico	undefined2023-55-18		10:55:12	 c9fefe43-47e0-4a95-91e3-42e2c67eba80	GET	/new-pag	undefined2023-55-18		10:55:12	 41a6c1b2-4bc2-4c66-98ae-390d8913e528	GET	/favicon.ico	undefined2023-02-18		11:02:59	 232d999f-9b35-4771-8c35-76c197ea1471	OPTIONS	/	https://www.google.com2023-02-18		11:02:59	 51e6b48a-f982-4fbc-84ee-09ea7a86df1c	GET	/	https://www.google.com2023-07-18		11:07:51	 44ac7ee1-8ab0-42c9-8545-28beafaa0432	OPTIONS	/	https://www.google.com2023-07-18		11:07:52	 40e85f77-68aa-489c-a8e1-73e5d7e43858	GET	/	https://www.google.com2023-10-18		11:10:40	 a153ba27-c242-47c1-a2c3-1c86e737e8a2	OPTIONS	/	https://www.google.com2023-10-18		11:10:40	 53a205b8-43ab-42a3-b733-a7215d8cba62	GET	/	https://www.google.com2023-14-18		11:14:24	 d865fb7c-8b91-4843-a5bc-5ce1cbf812cb	OPTIONS	/	https://www.google.com2023-14-18		11:14:24	 afb590a7-aa05-457c-9e89-c1a5e9fe5361	GET	/	https://www.google.com2023-18-18		11:18:00	 3ce3a948-fa27-4d9d-a4b0-c504f8207378	OPTIONS	/	https://www.google.com2023-18-18		11:18:00	 70d458dc-634d-4fcb-81b1-84f6f2cd6543	GET	/	https://www.google.com2023-45-18		11:45:04	 1556c15b-7d9c-439b-b68f-864d4b35bdd7	OPTIONS	/	https://www.google.com
2023-45-18		11:45:04	 15d0aa7a-0d09-41cb-93e4-b58cae502c4e	GET	/	https://www.google.com
2023-52-18		11:52:11	 6b213e7e-3d43-4937-abbe-d9b61598a5a6	GET	/404	undefined
2023-52-18		11:52:11	 d261ea72-70c0-46a3-ba18-3d55fc303bf8	GET	/favicon.ico	undefined
2023-54-18		11:54:39	 65a09efd-7a9c-4b81-b36a-c7f59a2ea48f	GET	/404	undefined
2023-54-18		11:54:39	 48fcb717-a682-46ca-9055-9ffa633f610e	GET	/favicon.ico	undefined
2023-03-18		12:03:08	 b01906d5-76d3-407f-88dd-982718115eb9	GET	/404	undefined
2023-03-18		12:03:08	 c95ab999-349e-4661-88fc-17c708e81979	GET	/favicon.ico	undefined
2023-03-18		12:03:36	 50e1141a-4f5d-4726-80a3-ec3666a97bc6	GET	/new-page	undefined
2023-03-18		12:03:36	 7678925b-38be-41a4-957a-50430de4d119	GET	/img/pexels-photo-10112958.jpeg	undefined
2023-03-18		12:03:36	 d4c77603-6e2c-4b67-8b5d-74235fb04e7c	GET	/css/style.css	undefined
2023-03-18		12:03:36	 def3b5d9-368f-4f1c-b1c4-5f008411fa2c	GET	/img/pexels-photo-1915715.jpeg	undefined
2023-03-18		12:03:41	 d9ee5a8f-86fd-4c10-9b1e-870dc88d5834	GET	/new-pag	undefined
2023-03-18		12:03:48	 4139ba9a-27ae-4061-81c1-e943aed2c9dc	GET	/new-page	undefined
2023-03-18		12:03:48	 7ba75ce3-1003-473f-a2c7-ed09ff087cae	GET	/css/style.css	undefined
2023-03-18		12:03:48	 bbef8ef6-53cd-484c-aec1-709d23d87431	GET	/img/pexels-photo-10112958.jpeg	undefined
2023-03-18		12:03:48	 33f45ded-37b8-479a-8bda-60082be69263	GET	/img/pexels-photo-1915715.jpeg	undefined
